AErathi Berserker	LEG:131
Feed the Clan	KTK:132
Feed the Pack	DKA:114
Feed the Swarm	ZNR:102
Feedback	LEB:58
Feedback Bolt	5DN:64
Feeding Frenzy	ONS:147
Feeling of Dread	ISD:14
Feint	LEG:144
Feisty Stegosaurus	UST:81
Feiyi Snake	GS1:24
Feldon of the Third Path	JR:100
Feldon's Cane	TSB:109
Felhide Brawler	BNG:70
Felhide Minotaur	THS:87
Felhide Petrifier	JOU:70
Felhide Spiritbinder	BNG:96
Felidar Cub	BFZ:25
Felidar Guardian	AER:19
Felidar Retreat	ZNR:16
Felidar Sovereign	ZEN:12
Felidar Umbra	PCA:6
Feline Sovereign	M21:374
Fell Flagship	XLN:238
Fell Shepherd	C13:78
Fell Specter	M19:96
Fell the Mighty	C17:60
Fell the Pheasant	ELD:153
Fellwar Stone	ME3:195
Femeref Archers	MIR:113
Femeref Enchantress	VIS:129
Femeref Healer	MIR:221
Femeref Knight	MIR:222
Femeref Scouts	MIR:223
Fen Hauler	AER:58
Fen Stalker	PCY:64
Fencer Clique	MOR:33
Fencer's Magemark	GPT:65
Fencing Ace	RTR:11
Fend Off	UDS:7
Fendeep Summoner	MOR:61
Feral Abomination	M20:101
Feral Animist	GPT:112
Feral Contest	WWK:100
Feral Deceiver	CHK:208
Feral Hydra	JMP:395
Feral Incarnation	M15:174
Feral Instinct	VIS:57
Feral Invocation	THS:158
Feral Krushok	FRF:128
Feral Lightning	SOK:97
Feral Maaka	RNA:100
Feral Prowler	JMP:397
Feral Ridgewolf	ISD:142
Feral Shadow	S99:77
Feral Thallid	ME2:161
Feral Throwback	PPRE:19
Ferocious Charge	5DN:88
Ferocious Pup	M20:171
Ferocious Tigorilla	IKO:115
Ferocious Zheng	GS1:28
Ferocity	MMQ:245
Ferocity of the Wilds	ELD:123
Feroz's Ban	HML:132
Ferropede	5DN:122
Ferrovore	SOM:88
Fertile Footsteps	ELD:295
Fertile Ground	USG:252
Fertile Imagination	DIS:84
Fertile Thicket	DDR:27
Fertilid	MOR:122
Fervent Cathar	EMA:129
Fervent Champion	ELD:360
Fervent Charge	APC:98
Fervent Denial	ODY:86
Fervent Paincaster	HOU:91
Fervent Strike	DOM:117
Fervor	WTH:99
Festercreep	MOR:62
Festergloom	M15:97
Festerhide Boar	ISD:179
Festering Evil	WTH:10
Festering Goblin	ONS:148
Festering March	FUT:65
Festering Mummy	AKH:91
Festering Newt	M14:98
Festering Wound	UDS:61
Festival	DRK:81
Festival of Trokin	P02:136
Festival of the Guildpact	RAV:17
Festive Funeral	ELD:87
Fetid Heath	EXP:31
Fetid Horror	MIR:21
Fetid Imp	ORI:97
Fetid Pools	AKH:243
Fettergeist	AVR:52
Feudkiller's Verdict	MOR:9
Fever Charm	ONS:202
Fevered Convulsions	TMP:30
Fevered Strength	ME3:66
Fevered Visions	SOI:244
Fibrous Entangler	EMN:174
Fickle Efreet	PCY:89
Fiddlehead Kami	SOK:130
Field Creeper	M19:234
Field Marshal	CSP:5
Field Research	ZNR:58
Field Surgeon	UDS:8
Field of Dreams	LEG:55
Field of Reality	CHK:60
Field of Ruin	XLN:254
Field of Souls	TPR:13
Field of the Dead	M20:247
Fieldmist Borderpost	ARC:85
Fiend Artisan	IKO:350
Fiend Binder	EMN:26
Fiend Hunter	ISD:15
Fiend of the Shadows	DKA:62
Fiendish Duo	GN2:4
Fiendslayer Paladin	M14:18
Fierce Empath	SCG:119
Fierce Invocation	UGIN:98
Fierce Witchstalker	ELD:154
Fiery Bombardment	EVE:52
Fiery Cannonade	XLN:143
Fiery Conclusion	RAV:122
Fiery Confluence	C15:26
Fiery Emancipation	M21:366
Fiery Fall	PCA:43
Fiery Finish	M19:140
Fiery Gambit	MRD:90
Fiery Hellhound	ORI:284
Fiery Impulse	ORI:145
Fiery Intervention	DOM:118
Fiery Islet	MH1:238
Fiery Justice	TSB:92
Fiery Mantle	USG:186
Fiery Temper	TSB:62
Fight	AKH:220
Fight // Prepared	AKH:220
Fight as One	IKO:12
Fight or Flight	INV:16
Fight to the Death	ARB:97
Fight with Fire	DOM:119
Fighting Chance	EXO:82
Fighting Drake	TPR:49
Figure of Destiny	MMA:189
Filigree Angel	C16:199
Filigree Crawler	AER:150
Filigree Familiar	KLD:212
Filigree Fracture	CON:82
Filigree Sages	ALA:44
Fill with Fright	BBD:144
Filth	JUD:66
Filthy Cur	ODY:136
Final Death	THB:95
Final Flare	THB:134
Final Fortune	MIR:173
Final Iteration	EMN:56
Final Judgment	BOK:4
Final Parting	DOM:93
Final Payment	RNA:171
Final Punishment	SCG:67
Final Revels	LRW:113
Final Reward	AKH:92
Final Strike	POR:16
Final-Sting Faerie	MOR:63
Finale of Devastation	WAR:160
Finale of Eternity	WAR:91
Finale of Glory	WAR:12
Finale of Promise	WAR:127
Finale of Revelation	WAR:51
Finality	GRN:225
Find	GRN:225
Finest Hour	ARB:126
Finish	AKH:215
Finish // Start	AKH:215
Finishing Blow	M21:99
Finn	SWS:402
Fire	FNMP:79
Fire // Ice	FNMP:79
Fire Ambush	PTK:111
Fire Ants	USG:187
Fire Bowman	PTK:112
Fire Covenant	MED:145
Fire Diamond	MIR:267
Fire Dragon	POR:130
Fire Drake	ME3:98
Fire Elemental	S99:96
Fire Imp	POR:131
Fire Juggler	MOR:90
Fire Prophecy	IKO:116
Fire Servant	M11:137
Fire Shrine Keeper	XLN:144
Fire Snake	POR:132
Fire Sprites	ME3:118
Fire Tempest	S99:97
Fire Urchin	GRN:101
Fire Whip	WTH:100
Fire and Brimstone	DRK:82
Fire at Will	EVE:140
Fire-Belly Changeling	LRW:164
Fire-Field Ogre	DDH:53
Fire-Lit Thicket	EXP:29
Fire-Omen Crane	GS1:29
Fireball	MPRP:6
Fireblade Artist	RNA:172
Fireblade Charger	ZNR:139
Fireblast	VMA:159
Firebolt	ODY:193
Fireborn Knight	ELD:210
Firebrand Archer	HOU:92
Firebrand Ranger	INV:143
Firebreathing	MIR:174
Firecannon Blast	XLN:145
Firecat Blitz	JUD:88
Firedrinker Satyr	THS:122
Firefiend Elemental	ORI:146
Firefist Adept	DOM:121
Firefist Striker	GTC:90
Firefly	TMP:172
Fireforger's Puzzleknot	KLD:213
Firefright Mage	PLC:99
Firehoof Cavalry	KTK:11
Firemane Angel	RAV:205
Firemane Avenger	MGDC:24
Firemantle Mage	BFZ:145
Firemaw Kavu	TSP:153
Firemind Vessel	WAR:237
Firemind's Foresight	RTR:162
Firemind's Research	GRN:171
Fires of Invention	ELD:361
Fires of Undeath	DKA:88
Fires of Yavimaya	VMA:252
Firescreamer	INV:106
Fireshrieker	MRD:171
Fireslinger	TMP:173
Firesong and Sunspeaker	DOM:280
Firespout	V14:6
Firestorm	WTH:101
Firestorm Hellkite	VIS:130
Firestorm Phoenix	ME3:99
Firewake Sliver	TSP:238
Firewild Borderpost	ARB:54
Firewing Phoenix	M13:131
First Order Dreadnought	SWS:506
First Response	M15:12
First Sliver's Chosen	MH1:9
First Volley	BOK:100
First-Sphere Gargantua	MH1:91
Fishliver Oil	CHR:20
Fissure	MED:93
Fissure Vent	ROE:144
Fissure Wizard	ZNR:140
Fist of Suns	C17:211
Fistful of Force	LRW:212
Fists of Flame	MH1:123
Fists of Ironwood	RAV:164
Fists of the Anvil	MRD:91
Fists of the Demigod	SHM:187
Fit of Rage	WTH:102
Five-Alarm Fire	GTC:91
Flagstones of Trokair	TSP:272
Flailing Drake	TMP:121
Flailing Manticore	MMQ:187
Flailing Ogre	MMQ:188
Flailing Soldier	MMQ:189
Flame Burst	ODY:194
Flame Elemental	MIR:175
Flame Fusillade	RAV:123
Flame Jab	EVE:53
Flame Javelin	SHM:92
Flame Jet	UDS:81
Flame Lash	KLD:266
Flame Rift	NEM:80
Flame Slash	ROE:145
Flame Spill	IKO:117
Flame Spirit	S00:179
Flame Sweep	M20:139
Flame Trooper	SWS:403
Flame Wave	TPR:131
Flame-Kin War Scout	DIS:61
Flame-Kin Zealot	RAV:206
Flame-Wreathed Phoenix	BNG:97
Flameblade Adept	AKH:131
Flameblade Angel	SOI:157
Flameblast Dragon	M12:133
Flameborn Hellion	SOM:89
Flameborn Viron	NPH:83
Flamebreak	DST:61
Flamecast Wheel	THS:215
Flamecore Elemental	TSP:154
Flameheart Werewolf	SOI:169
Flameheart Werewolf // Kessig Forgemaster	SOI:169
Flamekin Bladewhirl	LRW:165
Flamekin Brawler	LRW:166
Flamekin Harbinger	LRW:167
Flamekin Spitfire	LRW:168
Flamekin Village	C14:60
Flamerush Rider	PPRE:136
Flames of the Blood Hand	BOK:101
Flames of the Firebrand	M14:139
Flames of the Raze-Boar	RNA:101
Flameshadow Conjuring	ORI:147
Flameshot	PCY:90
Flamespeaker Adept	THS:123
Flamespeaker's Will	JOU:95
Flamestick Courier	ONS:203
Flametongue Kavu	VMA:160
Flamewake Phoenix	PPRE:137
Flamewave Invoker	LGN:92
Flamewright	CNS:46
Flaming Gambit	TOR:98
Flaming Sword	MMQ:190
Flanking Troops	PTK:5
Flare	MIR:176
Flaring Flame-Kin	DIS:62
Flaring Pain	JUD:89
Flash	MIR:66
Flash Conscription	RAV:124
Flash Counter	LEG:56
Flash Flood	ME3:35
Flash Foliage	DIS:85
Flash of Defiance	TOR:99
Flash of Insight	JUD:40
Flashfires	POR:134
Flashfreeze	MM2:45
Flatten	DTK:100
Flaxen Intruder	ELD:297
Flay	PCY:65
Flayed Nim	MRD:65
Flayer Drone	OGW:148
Flayer Husk	PCA:110
Flayer of the Hatebound	DKA:89
Flaying Tendrils	OGW:70
Fledgling Djinn	WTH:11
Fledgling Dragon	JUD:90
Fledgling Griffin	WWK:5
Fledgling Imp	ODY:137
Fledgling Mawcor	TSP:63
Fledgling Osprey	UDS:33
Fleecemane Lion	THS:193
Fleet Swallower	XLN:57
Fleet-Footed Monk	POR:177
Fleetfeather Cockatrice	JOU:149
Fleetfeather Sandals	THS:216
Fleetfoot Panther	PLS:108
Fleeting Aven	ONS:83
Fleeting Distraction	ROE:67
Fleeting Image	ULG:31
Fleeting Memories	SOI:62
Fleetwheel Cruiser	KLD:214
Flensermite	MBS:41
Flesh	DGM:128
Flesh // Blood	DGM:128
Flesh Allergy	SOM:62
Flesh Carver	C14:22
Flesh Reaver	USG:136
Flesh to Dust	M15:98
Flesh-Eater Imp	MBS:42
Fleshbag Marauder	ORI:98
Fleshformer	CON:45
Fleshgrafter	5DN:51
Fleshmad Steed	THS:88
Fleshpulper Giant	M14:140
Fleshwrither	FUT:84
Flicker	UDS:9
Flicker of Fate	THB:16
Flickerform	RAV:18
Flickering Spirit	TSP:17
Flickering Ward	TMP:231
Flickerwisp	MMA:16
Flight	S00:2
Flight Spellbomb	SOM:155
Flight of Equenauts	GRN:11
Flight of Fancy	RAV:49
Fling	STH:82
Flint Golem	NEM:130
Flinthoof Boar	M13:171
Flitterstep Eidolon	BNG:40
Floating Shield	TOR:5
Floating-Dream Zubera	CHK:61
Flock of Rabid Sheep	UGL:57
Flood	DRK:26
Flood Plain	VMA:296
Flood of Recollection	RIX:38
Flood of Tears	M20:59
Floodbringer	BOK:34
Floodchaser	MOR:34
Flooded Grove	EXP:35
Flooded Shoreline	VIS:32
Flooded Strand	EXP:16
Flooded Woodlands	ICE:368
Floodgate	MIR:67
Floodtide Serpent	BNG:41
Floodwater Dam	ME4:200
Floodwaters	AKH:53
Floral Spuzzem	LEG:101
Flourish	GRN:226
Flourishing Defenses	SHM:114
Flourishing Fox	IKO:365
Flow of Ideas	SHM:38
Flow of Maggots	ICE:13
Flower	GRN:226
Flowering Field	PCY:9
Flowering Lumberknot	AVR:178
Flowstone Armor	NEM:131
Flowstone Blade	TPR:132
Flowstone Channeler	TSP:155
Flowstone Charger	APC:99
Flowstone Crusher	NEM:81
Flowstone Embrace	FUT:113
Flowstone Flood	EXO:83
Flowstone Giant	TMP:174
Flowstone Hellion	VMA:161
Flowstone Mauler	TPR:133
Flowstone Overseer	NEM:82
Flowstone Salamander	TMP:175
Flowstone Sculpture	VMA:268
Flowstone Shambler	STH:86
Flowstone Slide	NEM:83
Flowstone Strike	NEM:84
Flowstone Surge	NEM:85
Flowstone Thopter	NEM:132
Flowstone Wall	NEM:86
Flowstone Wyvern	TPR:134
Fluctuator	USG:295
Flummoxed Cyclops	THB:135
Flurry of Horns	JOU:96
Flurry of Wings	ARB:127
Flusterstorm	VMA:68
Flutterfox	ELD:12
Flux	WTH:27
Flux Channeler	WAR:52
Fluxcharger	DGM:71
Flycatcher Giraffid	IKO:153
Flying Carpet	ME4:201
Flying Crane Technique	PPRE:100
Flying Men	TSB:20
Fodder Cannon	UDS:131
Fodder Launch	LRW:114
Foe-Razer Regent	PPRE:176
Fog	MIR:114
Fog Bank	USG:75
Fog Elemental	WTH:40
Fog Patch	NEM:104
Fog of Gnats	ULG:53
Fogwalker	EMN:60
Foil	PCY:34
Fold into Aether	5DN:31
Folio of Fancies	ELD:46
Folk Medicine	JUD:115
Folk of An-Havva	HML:59
Folk of the Pines	ME2:162
Followed Footsteps	RAV:51
Fomori Nomad	FUT:114
Font of Agonies	RNA:74
Font of Fertility	JOU:123
Font of Fortunes	JOU:38
Font of Ire	JOU:97
Font of Mythos	CON:136
Font of Return	JOU:71
Font of Vigor	JOU:11
Food Chain	MMQ:246
Fool's Demise	TSP:64
Fool's Tome	TMP:279
Foot Soldiers	S99:17
Footbottom Feast	LRW:115
Footfall Crater	IKO:118
Foothill Guide	ONS:29
Footlight Fiend	RNA:216
Footsteps of the Goryo	SOK:68
Foratog	MIR:115
Forbid	TPR:50
Forbidden Alchemy	MM3:38
Forbidden Crypt	MIR:22
Forbidden Friendship	IKO:367
Forbidden Lore	ME2:163
Forbidden Orchard	EXP:39
Forbidden Ritual	VIS:10
Forbidding Spirit	RNA:9
Forbidding Watchtower	ULG:140
Force Away	KTK:40
Force Bubble	SCG:14
Force Projection	SWS:507
Force Protection	SWS:304
Force Spike	ME3:36
Force Stasis	SWS:404
Force Telepathy	SWS:508
Force Void	ICE:70
Force of Despair	MH1:92
Force of Nature	ME4:154
Force of Negation	MH1:52
Force of Rage	MH1:124
Force of Savagery	FUT:126
Force of Vigor	MH1:164
Force of Virtue	MH1:10
Force of Will	VMA:69
Forced Adaptation	GTC:120
Forced Fruition	LRW:66
Forced Landing	WAR:161
Forced March	MMQ:136
Forced Retreat	PTK:44
Forced Worship	NPH:11
Forcefield	MED:157
Forcemage Advocate	JUD:116
Forebear's Blade	DOM:214
Foreboding Fruit	ELD:88
Foreboding Ruins	SOI:272
Forerunner of Slaughter	DDP:64
Forerunner of the Coalition	RIX:72
Forerunner of the Empire	RIX:102
Forerunner of the Heralds	RIX:129
Forerunner of the Legion	RIX:9
Foresee	M11:54
Foreshadow	VIS:33
Foresight	ALL:162
Forest	UNH:140
Forest Bear	PTK:135
Forethought Amulet	LEG:221
Forever Young	ELD:89
Forfend	MOR:10
Forge Armor	MRD:92
Forge Devil	M15:140
Forgeborn Oreads	JOU:98
Forgestoker Dragon	PPRE:76
Forget	HML:32
Forgotten Ancient	SCG:120
Forgotten Cave	VMA:297
Forgotten Creation	SOI:63
Forgotten Harvest	PCY:114
Forgotten Lore	ME2:164
Forgotten Sentinel	M21:231
Foriysian Brigade	WTH:130
Foriysian Interceptor	TSP:18
Foriysian Totem	TSP:254
Fork	ME4:116
Fork in the Road	SOI:205
Forked Bolt	ROE:146
Forked Lightning	POR:135
Forked-Branch Garami	BOK:125
Forlorn Pseudamma	BNG:71
Form of the Dinosaur	RIX:103
Form of the Dragon	SCG:93
Formation	ICE:249
Formless Nurturing	UGIN:129
Forsake the Worldly	AKH:13
Forsaken City	PLS:139
Forsaken Drifters	BNG:72
Forsaken Monument	ZNR:244
Forsaken Sanctuary	SOI:273
Forsaken Wastes	MIR:23
Fortified Area	LEG:183
Fortified Rampart	BFZ:27
Fortified Village	SOI:274
Fortify	TSP:19
Fortifying Provisions	ELD:13
Fortitude	USG:253
Fortress Crab	M20:60
Fortress Cyclops	GTC:164
Fortuitous Find	KLD:81
Fortunate Few	C17:4
Fortune Thief	TSP:156
Fortune's Favor	FNMP:201
Fossil Find	SHM:206
Foster	MMQ:247
Foul Emissary	EMN:158
Foul Familiar	ME2:90
Foul Imp	STH:9
Foul Orchard	SOI:275
Foul Presence	APC:39
Foul Renewal	DTK:101
Foul Spirit	P02:13
Foul-Tongue Invocation	DTK:102
Foul-Tongue Shriek	DTK:103
Foulmire Knight	ELD:90
Foundry Assembler	AER:151
Foundry Champion	PPRE:62
Foundry Hornet	AER:59
Foundry Inspector	KLD:215
Foundry Screecher	KLD:82
Foundry Street Denizen	M15:141
Foundry of the Consuls	ORI:247
Fountain Watch	MMQ:19
Fountain of Cho	MMQ:317
Fountain of Ichor	MH1:223
Fountain of Renewal	M19:235
Fountain of Youth	DRK:100
Fourth Bridge Prowler	AER:60
Fowl Play	UGL:24
Foxfire	ICE:126
Foxfire Oak	SHM:115
Fractured Identity	C17:37
Fractured Loyalty	MRD:93
Fractured Powerstone	PCA:111
Fracturing Gust	V14:7
Fragmentize	KLD:14
Frankenstein's Monster	DRK:7
Frantic Inventory	M21:50
Frantic Purification	TOR:6
Frantic Salvage	MBS:6
Frantic Search	VMA:70
Fraying Omnipotence	M19:97
Fraying Sanity	HOU:35
Frazzle	GPT:25
Free-Range Chicken	UGL:58
Free-for-All	UGL:25
Freed from the Real	SOK:38
Freejam Regent	AER:81
Freewind Equenaut	DIS:9
Freewind Falcon	VIS:105
Frenetic Efreet	MIR:324
Frenetic Ogre	ODY:195
Frenetic Raptor	LGN:93
Frenetic Sliver	PLC:157
Frenzied Arynx	RNA:173
Frenzied Fugue	C16:18
Frenzied Goblin	RAV:125
Frenzied Rage	DOM:124
Frenzied Raptor	XLN:146
Frenzied Tilling	INV:247
Frenzy Sliver	H09:6
Fresh Meat	NPH:109
Fresh Volunteers	MMQ:20
Fresh-Faced Recruit	GRN:216
Fretwork Colony	KLD:83
Freyalise Supplicant	ICE:127
Freyalise's Charm	ICE:128
Freyalise's Radiance	CSP:108
Freyalise's Winds	ME3:119
Freyalise, Llanowar's Fury	CMA:111
Friendly Fire	FRF:101
Frightcrawler	ODY:138
Frightful Delusion	ISD:57
Frightshroud Courier	ONS:149
Frilled Deathspitter	RIX:104
Frilled Mystic	RNA:174
Frilled Oculus	GTC:35
Frilled Sandwalla	M20:340
Frilled Sea Serpent	M20:61
Frillscare Mentor	IKO:121
Frog Tongue	TMP:122
Frogify	ELD:47
Frogmite	MRD:172
Frogtosser Banneret	MOR:64
From Beyond	PPRE:263
From Under the Floorboards	SOI:111
From the Ashes	C13:108
Frondland Felidar	IKO:334
Frontier Bivouac	KTK:234
Frontier Guide	ZEN:161
Frontier Mastodon	FRF:130
Frontier Siege	FRF:131
Frontline Devastator	HOU:93
Frontline Medic	GTC:12
Frontline Rebel	AER:82
Frontline Sage	CON:28
Frontline Strategist	SCG:15
Frost Breath	M21:51
Frost Giant	ME3:101
Frost Lynx	M20:62
Frost Marsh	CSP:146
Frost Ogre	BOK:102
Frost Raptor	CSP:34
Frost Titan	MBP:34
Frost Walker	FRF:35
Frostburn Weird	RTR:215
Frostling	BOK:103
Frostveil Ambush	IKO:52
Frostwalk Bastion	MH1:240
Frostwalla	MH1:165
Frostweb Spider	CSP:109
Frostwielder	CHK:167
Frostwind Invoker	ROE:68
Frozen Aether	PLC:54
Frozen Shade	LEB:18
Frozen Solid	SCG:36
Fruit of Tizerus	THB:96
Fruit of the First Tree	FRF:132
Fruitcake Elemental	HHO:6
Fruition	POR:91
Fry	M20:140
Fuel for the Cause	MBS:25
Fugitive Druid	TMP:123
Fugitive Wizard	M15:56
Fugue	TPR:105
Fulgent Distraction	SOM:7
Full Moon's Rise	ISD:180
Fully Grown	IKO:154
Fulminator Mage	SHM:188
Fumarole	ME2:194
Fumble	BBD:34
Fume Spitter	SOM:63
Fumigate	KLD:15
Fumiko the Lowblood	C15:155
Funeral Charm	VIS:11
Funeral March	ME2:91
Funeral Pyre	JUD:10
Funeral Rites	THB:97
Fungal Behemoth	PLC:128
Fungal Bloom	ME2:165
Fungal Infection	DOM:94
Fungal Plots	DOM:160
Fungal Reaches	TSP:273
Fungal Rebirth	M21:182
Fungal Shambler	PPRE:14
Fungal Sprouting	M13:173
Fungus Elemental	WTH:70
Fungus Sliver	TSP:195
Fungusaur	LEB:104
Furious Assault	MMQ:191
Furious Reprisal	KLD:115
Furious Resistance	GTC:93
Furious Rise	THB:136
Furnace Brood	TPR:135
Furnace Celebration	SOM:90
Furnace Dragon	DST:62
Furnace Scamp	NPH:84
Furnace Spirit	STH:87
Furnace Whelp	M15:279
Furnace of Rath	TMP:177
Furor of the Bitten	M21:145
Furtive Homunculus	SOI:64
Fury Charm	PLC:100
Fury Sliver	TSP:157
Fury of the Horde	DDN:30
Furyblade Vampire	EMN:128
Furyborn Hellkite	M12:135
Furystoke Giant	SHM:93
Fusion Elemental	PCA:93
Future Sight	VMA:71
Fylamarid	TMP:64
Fylgja	ICE:26
Fyndhorn Bow	ICE:293
Fyndhorn Brownie	ICE:130
Fyndhorn Druid	ALL:70
Fyndhorn Elder	ICE:131
Fyndhorn Elves	VMA:210
Fyndhorn Pollen	ME2:166
GO TO JAIL	UST:8
Gabriel Angelfire	ME3:148
Gaddock Teeg	LRW:248
Gadrak, the Crown-Scourge	M21:367
Gadwick, the Wizened	ELD:48
Gaea's Anthem	PLC:147
Gaea's Avenger	ME4:155
Gaea's Balance	APC:77
Gaea's Blessing	WTH:71
Gaea's Bounty	USG:254
Gaea's Cradle	USG:321
Gaea's Embrace	VMA:211
Gaea's Herald	PLS:80
Gaea's Liege	TSB:78
Gaea's Might	PLS:81
Gaea's Protector	DOM:162
Gaea's Revenge	PPRE:208
Gaea's Skyfolk	APC:101
Gaea's Touch	ME3:120
Gahiji, Honored One	C13:191
Gainsay	THS:49
Gale Force	CHK:209
Gale Swooper	M21:20
Galecaster Colossus	C17:10
Galepowder Mage	LRW:15
Galerider Sliver	M14:57
Galestrike	AKH:54
Galina's Knight	INV:248
Gallant Cavalry	M19:12
Gallantry	TPR:14
Gallia of the Endless Dance	THB:217
Galloping Lizrog	RNA:175
Gallowbraid	WTH:12
Gallows Warden	ISD:16
Gallows at Willow Hill	AVR:215
Galvanic Alchemist	AVR:54
Galvanic Arc	RAV:126
Galvanic Blast	SOM:91
Galvanic Bombardment	EMN:129
Galvanic Juggernaut	ISD:222
Galvanic Key	MRD:173
Galvanoth	MBS:62
Gamble	VMA:162
Game Plan	BBD:35
Game Preserve	MMQ:248
Game Trail	SOI:276
Game of Chaos	ICE:186
Game-Trail Changeling	MOR:123
Gamekeeper	UDS:106
Gang Up	BBD:47
Gang of Devils	DDK:56
Gang of Elk	ULG:102
Gangrenous Goliath	ONS:150
Gangrenous Zombies	ME2:92
Garbage Elemental	UST:82
Garbage Fire	CN2:52
Garenbrig Carver	ELD:298
Garenbrig Paladin	ELD:157
Garenbrig Squire	ELD:158
Gargantuan Gorilla	MED:119
Gargos, Vicious Watcher	M20:172
Gargoyle Castle	M10:225
Gargoyle Sentinel	M19:236
Garna, the Bloodflame	DOM:194
Garrison Cat	IKO:14
Garrison Griffin	ELD:305
Garrison Sergeant	GRN:172
Garruk Relentless	ISD:181
Garruk Relentless // Garruk, the Veil-Cursed	ISD:181
Garruk Wildspeaker	MBP:16
Garruk's Companion	M12:175
Garruk's Gorehorn	M21:306
Garruk's Harbinger	M21:307
Garruk's Horde	W17:24
Garruk's Packleader	M15:283
Garruk's Uprising	M21:308
Garruk's Warsteed	M21:337
Garruk, Apex Predator	MBP:104
Garruk, Caller of Beasts	MBP:76
Garruk, Cursed Huntsman	ELD:270
Garruk, Primal Hunter	M13:174
Garruk, Savage Herald	M21:336
Garruk, Unleashed	M21:305
Garruk, the Veil-Cursed	ISD:181
Garruk, the Veil-Cursed // Garruk Relentless	ISD:181
Garrulous Sycophant	CN2:43
Garza Zol, Plague Queen	CSP:129
Garza's Assassin	CSP:57
Gaseous Form	TPR:51
Gate Colossus	RNA:232
Gate Hound	RAV:19
Gate Smasher	DTK:239
Gate to Phyrexia	ME4:82
Gate to the Aether	MRD:174
Gate to the Afterlife	AKH:228
Gatebreaker Ram	RNA:126
Gatecreeper Vine	RTR:124
Gatekeeper Gargoyle	GRN:235
Gatekeeper of Malakir	ZEN:89
Gates Ablaze	RNA:102
Gateway Plaza	WAR:246
Gateway Shade	GTC:65
Gateway Sneak	RNA:40
Gathan Raiders	FUT:99
Gather Courage	RAV:165
Gather Specimens	ALA:45
Gather the Pack	ORI:178
Gather the Townsfolk	GRC:79
Gatherer of Graces	GPT:85
Gatstaf Arsonists	SOI:158
Gatstaf Arsonists // Gatstaf Ravagers	SOI:158
Gatstaf Howler	ISD:182
Gatstaf Howler // Gatstaf Shepherd	ISD:182
Gatstaf Ravagers	SOI:158
Gatstaf Ravagers // Gatstaf Arsonists	SOI:158
Gatstaf Shepherd	ISD:182
Gatstaf Shepherd // Gatstaf Howler	ISD:182
Gauntlet of Might	ME4:202
Gauntlet of Power	TSP:255
Gauntlets of Chaos	ME3:196
Gauntlets of Light	M20:17
Gavony Ironwright	DKA:9
Gavony Township	ISD:239
Gavony Unhallowed	EMN:89
Gaze of Adamaro	SOK:98
Gaze of Granite	MBP:81
Gaze of Justice	TSP:20
Gaze of Pain	ICE:16
Gaze of the Gorgon	RAV:246
Gearseeker Serpent	KLD:48
Gearshift Ace	KLD:16
Gearsmith Guardian	M19:237
Gearsmith Prodigy	M19:57
Geier Reach Bandit	SOI:159
Geier Reach Bandit // Vildin-Pack Alpha	SOI:159
Geier Reach Sanitarium	EMN:203
Geist Snatch	AVR:55
Geist Trappers	AVR:179
Geist of Saint Traft	ISD:213
Geist of the Archives	EMN:62
Geist of the Lonely Vigil	EMN:27
Geist of the Moors	M15:13
Geist-Fueled Scarecrow	EMN:196
Geist-Honored Monk	ISD:17
Geistblast	SOI:160
Geistcatcher's Rig	ISD:223
Geistflame	ISD:144
Gelatinous Genesis	ROE:183
Gelectrode	GPT:113
Gelid Shackles	CSP:6
Gem of Becoming	M13:205
Gemhide Sliver	TSP:196
Gemini Engine	DST:121
Gempalm Avenger	LGN:14
Gempalm Incinerator	LGN:94
Gempalm Polluter	LGN:70
Gempalm Sorcerer	LGN:39
Gempalm Strider	LGN:127
Gemrazer	IKO:376
Gemstone Array	5DN:124
Gemstone Caverns	TSP:274
Gemstone Mine	WTH:164
General Hux	SWS:405
General Jarkeld	ICE:251
General Kudro of Drannith	IKO:335
General Tazri	OGW:19
General's Enforcer	IKO:188
General's Kabuto	CHK:251
General's Regalia	MMQ:295
Generator Servant	M15:143
Generous Gift	MH1:11
Generous Patron	BBD:70
Generous Stray	GRN:129
Genesis	VMA:212
Genesis Chamber	DST:122
Genesis Hydra	MBP:142
Genesis Ultimatum	IKO:336
Genesis Wave	SOM:122
Genju of the Cedars	GVL:13
Genju of the Falls	BOK:35
Genju of the Fens	GVL:47
Genju of the Fields	BOK:5
Genju of the Realm	BOK:151
Genju of the Spires	BOK:105
Geode Rager	ZNC:6
Geomancer's Gambit	MH1:125
Geosurge	NPH:85
Geothermal Crevice	INV:323
Geralf's Masterpiece	SOI:65
Geralf's Messenger	DKA:63
Geralf's Mindcrusher	DKA:37
Gerrard Capashen	DDE:46
Gerrard's Battle Cry	VMA:28
Gerrard's Command	PLS:109
Gerrard's Irregulars	MMQ:192
Gerrard's Verdict	FNMP:82
Gerrard's Wisdom	WTH:131
Gerrera's Revolutionary	SWS:305
Gerrymandering	UGL:59
Get the Point	RNA:176
Geth's Grimoire	DST:123
Geth's Verdict	NPH:61
Geth, Lord of the Vault	SOM:64
Geyser Glider	ZEN:124
Geyserfield Stalker	BFZ:111
Ghalma's Warden	SOM:8
